ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_pensao_alimenticia,media_programas_sociais,media_outros_rendimentos,total_respondentes
2016,RN,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,67
2016,RN,Masculino,Outras idades / Não mapeado,1.98,1.98,2.0,1.97,66
2016,RN,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.98,50
2016,RN,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,24
2016,PB,Masculino,Outras idades / Não mapeado,1.98,2.0,1.98,1.95,128
2016,PB,Feminino,Outras idades / Não mapeado,1.99,1.99,1.99,2.0,210
2016,PB,Feminino,30 a 44 anos,1.99,2.0,2.0,2.0,167
2016,PB,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.96,49
2016,PB,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,168
2016,PB,Feminino,Outras idades / Não mapeado,1.96,2.0,2.0,1.98,90
2016,PB,Masculino,Outras idades / Não mapeado,1.97,1.96,2.0,1.96,77
2016,PB,Feminino,Outras idades / Não mapeado,1.95,2.0,2.0,1.98,60
2016,PB,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.97,29
2016,PE,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,2.0,38
2016,PE,Masculino,60 anos ou mais,1.99,1.99,1.99,2.0,110
2016,PE,Masculino,Outras idades / Não mapeado,1.96,2.0,1.99,2.0,96
2016,PE,Feminino,Outras idades / Não mapeado,1.98,1.99,2.0,1.97,95
2016,PE,Feminino,60 anos ou mais,2.0,2.0,2.0,1.99,93
2016,PE,Feminino,Outras idades / Não mapeado,1.94,1.99,2.0,1.99,78
2016,PE,Masculino,Outras idades / Não mapeado,1.95,2.0,2.0,1.98,44
2016,PE,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,1.99,98
2016,PE,Masculino,Outras idades / Não mapeado,1.92,2.0,2.0,2.0,26
2016,PE,Masculino,0 a 14 anos,1.98,2.0,2.0,2.0,90
2016,PE,Feminino,45 a 59 anos,2.0,2.0,2.0,2.0,129
2016,RJ,Masculino,Outras idades / Não mapeado,2.0,2.0,1.98,1.99,163
2016,RJ,Feminino,Outras idades / Não mapeado,1.99,1.99,2.0,1.99,152
2016,RJ,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,109
2016,RJ,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,125
2016,RJ,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,119
2016,RJ,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.97,145
2016,PR,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.96,75
2016,PR,Masculino,0 a 14 anos,2.0,2.0,2.0,2.0,121
2016,PR,Feminino,Outras idades / Não mapeado,1.99,2.0,1.99,1.97,148
2016,PR,Feminino,60 anos ou mais,1.99,1.99,1.99,2.0,138
2016,PR,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.97,128
2016,PR,Feminino,45 a 59 anos,2.0,2.0,2.0,2.0,174
2016,PR,Masculino,Outras idades / Não mapeado,1.98,2.0,1.99,1.97,134
2016,PR,Feminino,Outras idades / Não mapeado,1.97,1.98,2.0,1.95,59
